x,v,a,E,f
-1.25651922837461e-17,-3.699640614924299e-15,-7.787320072244386e-13,1.1249999999999993,-4.060776454044064e-13
-2.4734103803895308e-17,-6.084455760074599e-15,-1.192407572575149e-12,1.1249999999999991,-7.288627185308585e-13
-4.407320762150127e-17,-9.669551908802973e-15,-1.7925480743641855e-12,1.124999999999999,-1.2300946074899101e-12
-7.402835669889878e-17,-1.497757453869874e-14,-2.6540113149478813e-12,1.1249999999999984,-1.9922354665168935e-12
-1.1949933623077257e-16,-2.7665167778985834e-14,-0.049295134196467215,1.124999999999998,-3.2400988542740455e-12
-1.8739422249699072e-16,-4.102654627040581e-14,-0.070788667783161,1.1249999999999973,-4.991262952852039e-12
-2.8737719043142765e-16,-6.00638359784773e-14,-0.10072015712887734,1.1249999999999962,-7.533594725774918e-12
-4.3287189810458006e-16,-7.274735383657614e-14,-6.341758929049416e-12,1.1249999999999951,-1.0875196950189893e-11
-6.424009698797159e-16,-1.246664288438596e-13,-0.1990122846659001,1.1249999999999933,-1.632325285353555e-11
-9.413655079697098e-16,-1.7715843902730247e-13,-0.2767524592297231,1.1249999999999911,-2.3690962985906285e-11
-1.3643982389543708e-15,-2.1151636549233027e-13,-1.7178963232513883e-11,1.124999999999988,-3.317592066208086e-11
-1.9584613882612117e-15,-3.4954442892737915e-13,-0.525111009607966,1.124999999999984,-4.820389956209033e-11
-2.7869075577523387e-15,-4.1422308474556307e-13,-3.233932790909193e-11,1.124999999999979,-6.654557177173607e-11
-3.9347810607354205e-15,-5.739367514915405e-13,-7.985683337298862e-11,1.124999999999972,-9.300149090858798e-11
-5.515711144026447e-15,-9.220958872144483e-13,-1.316629932447101,1.1249999999999631,-1.3214622923872142e-10
-7.680840692068958e-15,-1.2595952590696783e-12,-1.7702457430744667,1.1249999999999516,-1.831813310814628e-10
-1.0630348466190867e-14,-1.7117552325780763e-12,-2.369934324530876,1.1249999999999365,-2.521917591261275e-10
-1.462826462736042e-14,-1.9989580805847744e-12,-1.4360142400334894e-10,1.124999999999917,-3.3813879191361283e-10
-2.002145416494452e-14,-3.115896537610209e-12,-4.192877690590466,1.1249999999998919,-4.680349189884717e-10
-2.726385802634994e-14,-4.175490680693636e-12,-5.542702432505408,1.1249999999998592,-6.344818762938664e-10
-3.694734571946104e-14,-4.8417438465555445e-12,-3.3312658293095396e-10,1.1249999999998175,-8.395454435368751e-10
-4.9840856076968404e-14,-6.4467551787536765e-12,-8.025056660990652e-10,1.124999999999764,-1.123544764701952e-09
-6.693989677260481e-14,-9.801181521021587e-12,-12.519668614135885,1.1249999999996954,-1.5262958780794167e-09
-8.952895233647592e-14,-1.1294527781935542e-11,-7.466731304569771e-10,1.124999999999608,-1.998608414232675e-09
-1.192599316993483e-13,-1.4865489681436177e-11,-1.7854809497503158e-09,1.1249999999994968,-2.6444805125326814e-09
-1.5825048959060806e-13,-1.9495278945629863e-11,-2.314894632096841e-09,1.1249999999993558,-3.4881507448516176e-09
-2.092069048053489e-13,-2.900914402887006e-11,-35.31798768002149,1.1249999999991773,-4.663890963425093e-09
-2.75577219869193e-13,-3.318515753192203e-11,-2.0880067515259823e-09,1.124999999998952,-6.027839337782512e-09
-3.617415730531137e-13,-4.3082176591960293e-11,-4.948509530019128e-09,1.124999999998668,-7.865730833224127e-09
-4.732481224749653e-13,-5.575327471092576e-11,-6.335549059482727e-09,1.1249999999983111,-1.0234815327264005e-08
-6.171047167721013e-13,-7.192829714856792e-11,-8.087511218821071e-09,1.1249999999978635,-1.3278655145169978e-08
-8.02138558184932e-13,-1.0455199615561353e-10,-120.3801472761675,1.1249999999973037,-1.7442331377177797e-08
-1.039438590539686e-12,-1.1865001617737692e-10,-7.0490100108816915e-09,1.124999999996605,-2.2216347214122332e-08
-1.3428982944041146e-12,-1.5172985193221412e-10,-1.6539917877418585e-08,1.1249999999957347,-2.8546519293346425e-08
-1.7298800628650588e-12,-1.9349088423047195e-10,-2.0880516149128893e-08,1.1249999999946534,-3.6587825309359756e-08
-2.222026453993677e-12,-2.766035480123801e-10,-305.37808754135943,1.1249999999933127,-4.744578963835721e-08
-2.8462484735217364e-12,-3.1211100976402954e-10,-1.7753730875824697e-08,1.1249999999916538,-5.979302139698153e-08
-3.6359267520094923e-12,-3.948391392438776e-10,-4.1364064739924e-08,1.1249999999896054,-7.597869298256598e-08
-4.6323681802576744e-12,-4.982207141240906e-10,-5.1690787440106465e-08,1.1249999999870819,-9.63255507320079e-08
-5.8865684093623855e-12,-6.271001145523724e-10,-6.44397002141426e-08,1.124999999983979,-1.2183527681504893e-07
-7.461339783437492e-12,-7.873856870375527e-10,-8.014278624259007e-08,1.1249999999801719,-1.5373620596823963e-07
-9.43387495330242e-12,-1.1006774570066886e-09,-1144.3781394042128,1.1249999999755096,-1.9605097015821782e-07
-1.1898828844652282e-11,-1.3738914833986912e-09,-1414.4907483161282,1.1249999999698121,-2.4674524711664065e-07
-1.4972016080317956e-11,-1.7110337459299711e-09,-1744.827309130464,1.1249999999628628,-3.095861687270585e-07
-1.879483767203648e-11,-2.1260824863246123e-09,-2147.241188750883,1.1249999999544034,-3.8733816470855035e-07
-2.3539570128000197e-11,-2.372366227981857e-09,-1.231418708286222e-07,1.1249999999441254,-4.775471700601961e-07
-2.941567243397908e-11,-3.2611803535882928e-09,-3232.081171531985,1.1249999999316618,-6.003598550346345e-07
-3.667729206814149e-11,-3.6308098170812024e-09,-1.8481473174645467e-07,1.124999999916576,-7.373964500669609e-07
-4.5632180761913626e-11,-4.959771040411276e-09,-4824.444902475446,1.124999999898351,-9.229309270911416e-07
-5.665226463418287e-11,-6.097551437300619e-09,-5876.529862654285,1.1249999998763738,-1.1422208876745568e-06
-7.018615217561874e-11,-6.766943770717926e-09,-3.346961667086532e-07,1.12499999984992,-1.394429852962367e-06
-8.677390798004836e-11,-8.293877902214805e-09,-7.634670657484387e-07,1.1249999998181355,-1.7142739348894199e-06
-1.0706447081710107e-10,-1.0145281418526344e-08,-9.257017581557687e-07,1.1249999997800142,-2.1042677266129964e-06
-1.318361523976065e-10,-1.2385840790252705e-08,-1.1202796858631797e-06,1.1249999997343738,-2.5787292275246406e-06
-1.6202071886638601e-10,-1.5092283234389744e-08,-1.3532212220685183e-06,1.1249999996798268,-3.1547281645610485e-06
-1.9873163162190924e-10,-1.8355456377761598e-08,-1.6315865716859254e-06,1.124999999614748,-3.8525752891814326e-06
-2.432971085617659e-10,-2.2282738469928308e-08,-1.9636410460833533e-06,1.124999999537237,-4.6963923154099544e-06
-2.972987624447469e-10,-2.700082694149047e-08,-2.359044235781079e-06,1.1249999994450766,-5.7147745943657334e-06
-3.626166810149264e-10,-3.265895928508973e-08,-2.8290661717996266e-06,1.124999999335682,-6.941560259436438e-06
-4.4148193524175175e-10,-3.943262711341264e-08,-3.3868339141614524e-06,1.1249999992060475,-8.41672140938305e-06
-5.365376390134085e-10,-4.7527851885828316e-08,-4.047612386207835e-06,1.124999999052682,-1.0187394943736543e-05
-6.50909837537367e-10,-5.7186099261979206e-08,-4.829123688075441e-06,1.124999998871539,-1.230907294690276e-05
-7.882896743577986e-10,-6.868991841021572e-08,-5.751909574118253e-06,1.124999998657935,-1.4846975057029172e-05
-9.530284802564033e-10,-8.236940294930228e-08,-6.839742269543272e-06,1.1249999984064587,-1.787762807712387e-05
-1.1502476434884074e-09,-1.0769212331988955e-07,-90847.59896779497,1.1249999981108687,-2.169072097130559e-05
-1.3859653621210472e-09,-1.2861249315811487e-07,-107562.60158846909,1.1249999977639764,-2.6073571434750798e-05
-1.6672426481735674e-09,-1.533512338408492e-07,-127156.95559879941,1.1249999973575184,-3.127415030664934e-05
-2.002351252484783e-09,-1.6755430215560763e-07,-7.101534157379215e-06,1.1249999968820092,-3.710694841399634e-05
-2.4009665116375155e-09,-2.1699350585810414e-07,-176901.956326791,1.124999996326579,-4.4656510971087755e-05
-2.874388486941103e-09,-2.3671098765179364e-07,-9.858740896844741e-06,1.124999995678792,-5.283104796795552e-05
-3.4357951737245526e-09,-2.8070334339173227e-07,-2.1996177869969907e-05,1.1249999949244434,-6.283168456301619e-05
-4.100532010563317e-09,-3.6106150657319147e-07,-287000.95752152277,1.124999994047334,-7.526441495109347e-05
-4.886442416324018e-09,-3.9295520288035004e-07,-1.594684815357927e-05,1.124999993029021,-8.867797702662695e-05
-5.814244632079954e-09,-4.639011078779676e-07,-3.547295249880875e-05,1.1249999918485392,-0.00010500498339457637
-6.907960749285868e-09,-5.468580586029567e-07,-4.147847536249452e-05,1.1249999904820949,-0.0001241828890231126
-8.19540446961747e-09,-6.437218601658007e-07,-4.843190078142197e-05,1.1249999889027282,-0.00014667289979751694
-9.708734870348216e-09,-7.566652003653722e-07,-5.647167009978567e-05,1.1249999870799405,-0.00017300595409140346
-1.1485084247079044e-08,-8.881746883654132e-07,-6.575474400002045e-05,1.1249999849792838,-0.00020379234287476783
-1.35672689783412e-08,-1.125472046017051e-06,-844002.880983699,1.1249999825619132,-0.00024159097566685023
-1.600459330960046e-08,-1.2186621656296294e-06,-4.6595059806289116e-05,1.1249999797840964,-0.0002820543170390378
-1.885375699329927e-08,-1.4245818418494038e-06,-0.00010295983810988709,1.1249999765966758,-0.00033076422641033004
-2.2179878852830463e-08,-1.79432816534556e-06,-1312992.9445273522,1.1249999729444868,-0.00039030025916146177
-2.6057649568029147e-08,-1.9388853575993405e-06,-7.227859612689023e-05,1.1249999687657222,-0.0004538475774061266
-3.057262831442218e-08,-2.257489373196516e-06,-0.00015930200779858768,1.1249999639912462,-0.0005300256617844551
-3.5822699334831816e-08,-2.8268024035786867e-06,-2018161.7009654578,1.1249999585438513,-0.0006227145756749531
-4.1919706086936126e-08,-3.2808038011515953e-06,-2323571.5890464294,1.1249999523374572,-0.0007264810958371646
-4.8991282301182287e-08,-3.535788107123077e-06,-0.0001274921529857408,1.1249999452762502,-0.0008403021004818656
-5.718290110732856e-08,-4.4025360776741324e-06,-3068015.85231917,1.1249999372537605,-0.0009827898616235743
-6.66601653522978e-08,-4.738632122484618e-06,-0.0001680480224052427,1.1249999281518759,-0.0011340482609442366
-7.761136434450327e-08,-5.878520501712374e-06,-4030194.093979009,1.1249999178397907,-0.0013228125609371932
-9.025032452799802e-08,-6.319480091747367e-06,-0.00022047979501749646,1.1249999061728913,-0.0015228299812227925
-1.0481958402134705e-07,-7.284629746674512e-06,-0.00048257482746357194,1.1249998929915759,-0.00176007773988855
-1.2159392355871837e-07,-8.988684908937309e-06,-6016620.458923899,1.1249998781200115,-0.0020454871048759555
-1.408842891519265e-07,-1.0331030490330892e-05,-6860151.955703506,1.1249998613648289,-0.0023621569937204287
-1.6304214475957317e-07,-1.1860033593397547e-05,-7812965.559220961,1.1249998425137617,-0.0027239677438278425
-1.884642964103757e-07,-1.2711075825401258e-05,-0.000425521116001855,1.1249998213342294,-0.0031173900906369236
-2.1759823258938912e-07,-1.456696808950669e-05,-0.0009279461320527152,1.1249997975718748,-0.003581194047366531
-2.5094802926499574e-07,-1.7820630452157655e-05,-11460119.31933509,1.1249997709490611,-0.004135480083613434
-2.890808717177489e-07,-1.9066421226376564e-05,-0.0006228953871094538,1.124999741163339,-0.004718673694331694
-3.326342493355033e-07,-2.1776688808877167e-05,-0.0013551337912503006,1.124999707885897,-0.0054034450646404
-3.823238837683359e-07,-2.6508545226881334e-05,-16641343.361134378,1.124999670760007,-0.00621840149341405
-4.389524552964915e-07,-3.0194567945650852e-05,-18807413.953819465,1.124999629399485,-0.007115056850690358
-5.034191969592918e-07,-3.223337083140012e-05,-0.0010194014428746333,1.1249995833871862,-0.008083577575935393
-5.767304309261259e-07,-3.904872470431858e-05,-23950220.090319145,1.1249995322735578,-0.009268200834279287
-6.600111267649152e-07,-4.4336059502533316e-05,-26963699.460141502,1.1249994755752795,-0.010567955342471656
-7.545175666803346e-07,-4.725321995770965e-05,-0.001458580227588165,1.1249994127740228,-0.011968383617041674
-8.616512084543334e-07,-5.356682088699938e-05,-0.003156800464644864,1.1249993433153662,-0.013599640901914477
-9.829738427241153e-07,-6.066131713489087e-05,-0.003547248123945742,1.1249992666079083,-0.01544015241103687
-1.120224147375915e-06,-7.291981275051187e-05,-42957092.92378109,1.1249991820226293,-0.017608769030330113
-1.2753357482130645e-06,-7.755580041857468e-05,-0.0023179938340314042,1.1249990888925514,-0.019870217601194805
-1.4504569016688142e-06,-9.295068006923237e-05,-53914197.447729096,1.1249989865127645,-0.022610251386431145
-1.6479719221715961e-06,-9.875751025139087e-05,-0.0029034150910792456,1.1249988741408785,-0.025463366041400648
-1.8705244838238921e-06,-0.00011127628082614791,-0.006259385287378516,1.1249987509979806,-0.028763553845317903
-2.121042933315448e-06,-0.00013277518755856123,-75177984.06368397,1.1249986162701824,-0.03262918188762657
-2.402767758444127e-06,-0.0001492455295560626,-83851643.66910635,1.1249984691108523,-0.03682988494786773
-2.7192813642485365e-06,-0.00015825680290220456,-0.004505636673070975,1.1249983086436433,-0.041317465061563995
-3.0745403165483607e-06,-0.0001880236958742539,-103967582.63119014,1.1249981339664272,-0.0467157230648527
-3.472910220621287e-06,-0.00019918495203646288,-0.005580628081104493,1.1249979441562739,-0.052312870908965324
-3.9192034107969e-06,-0.00022314659508780617,-0.011980821525671634,1.124997738275609,-0.05874674718523379
-4.418719634893394e-06,-0.000249758112048247,-0.013305758480220415,1.1249975153797143,-0.06591912968519092
-4.977289925633649e-06,-0.0002792851453701271,-0.014763516660940031,1.1249972745257348,-0.07390597468897839
-5.601323859422819e-06,-0.00031201696689458477,-0.016365910762228812,1.124997014783383,-0.08279037886217866
-6.297860411115795e-06,-0.0003676512451849667,-193877031.6368028,1.1249967352475398,-0.09309004142600949
-7.074622621612591e-06,-0.0003883811052483975,-0.01036493003171538,1.1249964350529174,-0.10372095556046854
-7.940076303252279e-06,-0.00045640808817150194,-236870309.28134978,1.124996113390529,-0.11638385770464642
-8.903493015988563e-06,-0.0004817083563681415,-0.012650134098319768,1.1249957695267956,-0.12943810288436766
-9.975017555173754e-06,-0.0005646006125069406,-288453859.87678283,1.1249954028261162,-0.14495518004371422
-1.1165740199404529e-05,-0.0006271269108307885,-317733466.98287195,1.1249950127766997,-0.1616310916149633
-1.2487773974235731e-05,-0.0006610168874156005,-0.01694498829240598,1.1249945990199137,-0.17927097170779305
-1.3954337194592503e-05,-0.0007332816101783856,-0.03613236138139252,1.124994161383495,-0.1993280633413383
-1.5579841555343787e-05,-0.0008127521803756413,-0.03973528509862783,1.1249936999189862,-0.2214662403467417
-1.7379986045677297e-05,-0.0009465363209675181,-464754235.3645674,1.124993214943784,-0.24689967223285603
-1.9371856968570493e-05,-0.0010468834046189618,-509603859.8508034,1.1249927070882146,-0.27412104555309424
-2.157403435171116e-05,-0.0011010886915703328,-0.02710264347568546,1.1249921773480787,-0.30281181674235796
-2.400670504061152e-05,-0.0012775336371527778,-612472462.7216775,1.1249916271431246,-0.3366269421233007
-2.6691782768303927e-05,-0.0013425388638462028,-0.032502613346712485,1.1249910583819518,-0.37126862637002345
-2.965303549881887e-05,-0.001553871709727235,-732632328.8776135,1.1249904735338603,-0.41201153680118546
-3.291622034355364e-05,-0.0017116277632218213,-800548875.6613773,1.1249898755562902,-0.45546134095953933
-3.65092263505413e-05,-0.00179650300349383,-0.04243762013600435,1.1249892681367437,-0.5011040404348333
-4.046222546645003e-05,-0.0019764995579543607,-0.08999827723026524,1.124988655941681,-0.5525286010185092
-4.480783196978148e-05,-0.0021728032516657235,-0.09815184685568129,1.1249880445694,-0.6088164134927752
-4.9581270671103476e-05,-0.0023867193506609966,-0.10695804949763646,1.1249874406653502,-0.6703670426872852
-5.4820554172152225e-05,-0.002742820286472793,-1232086193.503787,1.1249868520481061,-0.7403224695076864
-6.056666947017545e-05,-0.0028730576490116106,-0.06511868126940874,1.124986287846728,-0.8116241579294505
-6.686377418686018e-05,-0.003148552358342362,-0.13774735466537563,1.124985758650258,-0.8915718977409253
-7.375940269250554e-05,-0.0034478142528226786,-0.14963094724015813,1.124985276670137,-0.9787047825241593
-8.130468238565371e-05,-0.0037726398465740807,-0.16241279687570093,1.124984855916343,-1.0735841314375074
-8.955456037609206e-05,-0.004310802667175361,-1858058965.1619816,1.1249845123880866,-1.1809031572190987
-9.856804080488154e-05,-0.004708039244589345,-2012364566.9696777,1.1249842642799195,-1.2943904543563614
-0.00010840843301875968,-0.004920196106939067,-0.10607843117486081,1.12498413220413,-1.4127122371772693
-0.00011914361079781049,-0.005603176375208102,-2355142536.7077293,1.1249840656670438,-1.549907760444398
-0.0001308462828145974,-0.006105954321587125,-2545391654.779351,1.1249842385601694,-1.6947255318482595
-0.00014359427447993678,-0.006648970761653718,-2748894534.4520674,1.1249846066747016,-1.851514147713544
-0.0001574708213050444,-0.006938273412553802,-0.14465132545004178,1.1249852028708567,-2.014624605208909
-0.0001725648738818541,-0.007547026288404851,-0.30437643792552443,1.1249860638132445,-2.1960588652227027
-0.0001889714145527906,-0.00820327033546824,-0.32812202353169423,1.124987230310455,-2.3923469982538967
-0.00020679178580812008,-0.008910185627664729,-0.35345764609824376,1.124988747677512,-2.6045114999455774
-0.00022613403041312464,-0.010070462073390678,-3992156367.274556,1.1249906661221611,-2.8424318169630762
-0.0002471132432286956,-0.010489606407785483,-0.20957216719740232,1.1249930411559426,-3.0828808203950326
-0.0002698519346474721,-0.011369345709388223,-0.4398696508013697,1.1249959340309925,-3.3491405269963224
